date,,odometer,miles,cum miles,stop name,stop desc,cost,wp id,cat,spot,day name,day desc,,lat,lon,day start,day end
2016-06-24,Fri,68491,0,,Reno!,IGNORE,,,108,143,,IGNORE is a hack to get starting odometer in the spreadsheet,0,,,,
2016-06-25,Sat,68617,126,126,Eagle,,,643,,216,Eagle Lake,"usual drive to Susanville, decide to take the scenic (but tiring) route around the west side of Eagle Lake.",1,,,,
2016-06-26,Sun,68720,103,229,Lava Beds,,,643,,85,All roads lead to Adin,"Lunch adventure in Adin, take the Lookout route",2,,,,
2016-06-27,Mon,68886,166,395,sunset cove,,,643,,308,Klamath Falls,"pretty scenery, then Klamath, then boring 97",3,,,,
2016-06-28,Tue,69061,175,570,van place,,,647,,309,Fred Meyer and I-5,"Breakfast in Oakridge, aka Appalachia West, I-5 to Tualatin, vist two different Fred Meyers (three in two days)",4,,,,
2016-06-29,Wed,69061,0,570,edgefield,,,647,,89,"spend money, make decisions",Wake up at the van place. Mill around there for three hours. Breakfast. Spend $565 on a new stereo … didn’t see that coming.,5,,,,
2016-06-30,Thu,69102,41,611,edgefield,,,647,,89,nothing but relaxing,A day of perfect leisure. Only work I did was browbeat the desk into moving me to a lower bunk. That was hard. ,6,,,,
2016-07-01,Fri,69173,71,682,memaloose,,,647,,310,the Gorge,"Lounge in style till 2pm, enjoy the spectacular Columbia Gorge but not the holiday traffic, get a nice spot at a State Campground on the river",7,,,,
2016-07-02,Sat,69313,140,822,heppner,,,678,,311,Oregon Palouse,"tour the wide open spaces, breakfast and tire rotation at The Dalles, Maryhill Museum, narrowly avoid a deer, chill at the reservoir",8,,,,
2016-07-03,Sun,69469,156,978,wetmore,,,678,,312,hills and trees and streams,"No phone bars all day, miss a turn, sigh…  Very pretty drive along the cow poop-infested South Fork John Day River.",9,,,,
2016-07-04,Mon,69624,155,1133,Elton’s house,,,678,111,,farmer country,"get to Eltons, get phone bars and discover Kevin Durant is a Warrior!",10,43.56945,-116.18311388889,,
2016-07-05,Tue,69636,12,1145,Elton’s house,,,678,111,,getting to know Boise,"coffee at Slow by Slow, pizza with Elton",11,43.56945,-116.18311388889,,
2016-07-06,Wed,69636,0,1145,Elton’s house,,,678,111,,enjoy condo life,"afternoon of trip planning, Basque restaurant, walk the city, brewery",12,43.56945,-116.18311388889,,
2016-07-07,Thu,69646,10,1155,Elton’s house,,,678,111,,"morning, evening and wifi","District Coffee, Thai restaurant",13,43.56945,-116.18311388889,,
2016-07-08,Fri,69787,141,1296,hayfield hatchery,,,652,,313,achieve escape velocity,"head east on I-84, then pretty drive on US 20, end up in a real nice place",14,,,,
2016-07-09,Sat,69945,158,1454,Kelly Island,,,652,,314,South Fork of the Snake,"lovin' the South Fork life. Nail a great spot at the BLM campground on the Snake, then off to the hot springs.",15,,,,
2016-07-10,Sun,70056,111,1565,gros ventre,,,652,,24,Jackson WY,"really pretty driving, but an oddly tiring day",16,,,,
2016-07-11,Mon,70264,208,1773,Lower Boysen,,,679,,315,Tetons drive-by,"super busy traffic in the morning at the national park, super quiet in Wyoming once I escaped.",17,,,,
2016-07-12,Tue,70352,88,1861,Leigh Creek,,,679,,316,western Wyoming,"Beautiful country, Wind River Canyon to Thermopolis, enjoy hot springs all afternoon, camp in the Bighorns.",18,,,,
2016-07-13,Wed,70531,179,2040,Arch Rock,,,679,,319,eastern Wyoming,"The Bighorns are beautiful, Buffalo WY is pretty boring, decide not to try Devil’s Tower",19,,,,
2016-07-14,Thu,70664,133,2173,Sheridan Lake,,,679,,320,top half Black Hills,"A little more Wyoming, excellent Spearfish SD, then traffic in the Black Hills",20,,,,
2016-07-15,Fri,70788,124,2297,Badlands,,,656,,321,Rapid City,"Drive-by on Mt Rushmore, Rapid City didn’t work for me today, heavy rain, Badlands is full, so end up un the funky campground outside.",21,,,,
2016-07-16,Sat,71090,302,2599,Colman SD,,,656,,322,fucking driving,"Badlands, then too much driving with too few food options - met a Senator!",22,,,,
2016-07-17,Sun,71297,207,2806,Big Island,,,656,,323,easy day,more I-90 and crumbling infrastructure,23,,,,
2016-07-18,Mon,71453,156,2962,pikes peak,,,656,,27,easier day,fun in Austin MN and the Spam Museum,24,,,,
2016-07-19,Tue,71662,209,3171,Mike Fisher’s house,got the guest bedroom!,,658,91,,I-84 traffic hell,"Nice coffee in Prairie du Chen, ugly driving to get to Fox Point",25,43.160990,-87.890746,,
2016-07-20,Wed,71685,23,3194,Mike Fisher’s house,"enjoy dinner, quiet night",,658,91,,Milwaukee Museum,"lunch and private tour of the Milwaukee Art Museum, mexican restaurant in the Third Ward",26,43.160990,-87.890746,,
2016-07-21,Thu,72002,317,3511,cousin Doug’s house,got the guest bedroom!,,658,91,,I-65 Traffic hell,A truly awful traffic day getting from Milwaukee past Chicago through a hailstorm and a seven-car pileup to Doug’s. Nice dinner with the relatives.,27,39.704163888889,-85.8890833333,,
2016-07-22,Fri,72143,141,3652,Lloyd’s man cave,dining room floor is workin’ for me!,,658,80,,I-74 Traffic hell,Can’t escape the traffic on Indiana’s crappy freeways. Cross the Ohio at Madison IN.,28,38.240852,-85.553915,,
2016-07-23,Sat,72178,35,3687,Lloyd’s man cave,Reunion Night!,,658,80,,Nostalgia Day,"the old neighborhood, my 50th high school reunion",29,38.240852,-85.553915,,
