date,,odometer,miles,cum miles,stop name,stop desc,wp id,cat,spot,day name,day desc,,lat,lon,day start,day end
,,,,,,,,,,,,,,,,
2013-09-15,Sun,42944,0,0,Reno!,IGNORE,386,108,143,,,,,,,
2013-09-16,Mon,43060,116,116,buckeye,,386,,83,Travertine Hot Springs,"get a sandwich, get gas, get out of town!",,,,,
2013-09-17,Tue,43122,62,178,touloumne,,386,,217,Yosemite High Country,"Lee Vining, then up Tioga Road",,,,,
2013-09-18,Wed,43199,77,255,june lake?,,386,,218,Mammoth and June lake,"Olmsted Point, back down the mountain to Looney Beans and Von’s, Reversed Creek",,,,,
2013-09-19,Thu,43362,163,418,Reno!,,386,,143,leisurely drive home,"June Lake, Mono Lake, Topaz steak and eggs, home",,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2016-11-14,Mon,78260,0,0,Reno!,IGNORE,,108,143,,,,,,,
2016-11-15,Tue,78368,108,108,rocky rest,,709,,165,stormy weather on 49,"Sunny when I started, but in the end … washed up in Downieville",,,,,
2016-11-16,Wed,78473,105,213,colusa,,709,,260,sparkling view of the Valley,"Colusa Day: late breakfast in Colusa, look at the birds at Colusa NWR, sleep at Colusa Casino.",,,,,
2016-11-17,Thu,78559,86,299,sycamore,,709,,167,Chico and wildlife,"Llano Seco viewing, Tin Root Bakery, more Valley",,,,,
2016-11-18,Fri,78748,189,488,eureka inn!,,709,,372,"299 closed, long, tiring detour to 36","A lot of mountain driving, the Death Valley Troubadours tonight!",,,,,
2016-11-19,Sat,78750,2,490,eureka,,709,,267,hanging with the family,"the simple pleasures of small children, plus a Warriors game",,,,,
2016-11-20,Sun,78757,7,497,eureka,,709,,267,hanging with the family,the simple pleasures of small children,,,,,
2016-11-21,Mon,78760,3,500,eureka,,709,,267,hanging with the family,the simple pleasures of small children,,,,,
2016-11-22,Tue,79106,346,846,Reno!,,709,,143,"Eureka to Reno in one day, ugh.",Weather’s getting worse. I should leave today.,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2016-12-18,Sun,79147,,,Reno!,IGNORE,,108,143,,,,,,,
2016-12-19,Mon,79302,155,155,colusa,,745,,260,clear and cold in the mountain passes,Just make it across the mountains to the casino parking lot,,,,,
2016-12-20,Tue,79389,87,242,granzellas,,745,,166,parking lot to parking lot,Migratory birds are spectacular this time of year.,,,,,
2016-12-21,Wed,79505,116,358,bushay,,745,,212,Route 20 to 101,Pretty drive along Clear Lake … except for the afternoon glare.,,,,,
2016-12-22,Thu,79666,161,519,eureka,,745,,267,101 north to Eureka,"Enjoy the Willets Bypass for the first time, hamburger at Peg House!",,,,,
2016-12-23,Fri,79672,6,525,eureka,,745,,267,hanging with the family,Get a haircut from my in-law. Be a babysitter.,,,,,
2016-12-24,Sat,79676,4,529,eureka,,745,,267,Christmas Eve,His family does Christmas on the eve. Christmas #1 for the kids.,,,,,
2016-12-25,Sun,79935,259,788,san rafael,,745,,182,Christmas Day,"Christmas #2 at our house. Later, nice family dinner at Grandma's, watch Warriors lose to Cleveland - ugh.",,,,,
2016-12-26,Mon,79935,0,788,san rafael,,745,,182,101 south to San Rafael,Christmas #3 at San Rafael Grandpa’s.,,,,,
2016-12-27,Tue,79935,0,788,san rafael,,745,,182,hanging with the family,,,,,,
2016-12-28,Wed,79935,0,788,san rafael,,745,,182,hanging with the family,,,,,,
2016-12-29,Thu,80069,134,922,granzellas,,745,,166,long drive across Napa,"Start in Petaluma, 116 to 121 to 12 to 128 past Lake Berrysea to I-505 to I-5 … whew!",,,,,
2016-12-30,Fri,80233,164,1086,Reno!,,745,,143,"Easy drive, 20 to 80 to Reno","Colusa NWR Auto Tour, then hit the road, lunch in Yuba City.",,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2017-02-08,Wed,80287,0,,Reno!,IGNORE,,108,143,,,,,,,
2017-02-09,Thu,80441,154,154,colusa,,746,,260,terrible weather in the mountain passes,just make it across the mountains to the casino parking lot,,,,,
2017-02-10,Fri,80516,75,229,granzellas,,746,,166,flooding in the Valley,"Wildlife Refuge hikes and drives, and a swollen Sacramento River",,,,,
2017-02-11,Sat,80754,238,467,eureka,,746,,267,Route 20 to 101 to Eureka,"Pretty drive pst Clear Lake, then 101 all the way to Eureka, straight to Grandma Gales for dinner!",,,,,
2017-02-12,Sun,80758,4,471,eureka,,746,,267,hanging with the family,Shoot hoops with Tyler at the Adorno Center,,,,,
2017-02-13,Mon,80785,27,498,eureka,,746,,267,hanging with the family,Lunch by the bay and a visit to the Eureka Mall,,,,,
2017-02-14,Tue,80797,12,510,eureka,,746,,267,hanging with the family,"Downtown coffee, Library, sixth-grade basketball game tonight",,,,,
2017-02-15,Wed,80805,8,518,eureka,,746,,267,hanging with the family,Get my tires rotated.,,,,,
2017-02-16,Thu,80813,8,526,eureka,,746,,267,hanging with the family,We all go to McKinleyville for a very exciting sixth-grade basketball game.,,,,,
2017-02-17,Fri,81077,264,790,san rafael,,746,,182,"Gloomy weather, nice drive","I drive M and the two toddlers to San Rafael, we had a nice time!",,,,,
2017-02-18,Sat,81077,0,790,san rafael,,746,,182,hanging with the family,babysit,,,,,
2017-02-19,Sun,81077,0,790,san rafael,,746,,182,hanging with the family,"Petaluma with Martha, getting sick.",,,,,
2017-02-20,Mon,81077,0,790,san rafael,,746,,182,being sick,"Fully sick, just sleep all day",,,,,
2017-02-21,Tue,81077,0,790,san rafael,,746,,182,being sick,"Fully sick, just sleep all day",,,,,
2017-02-22,Wed,81245,168,958,colusa,,746,,260,Nice drive to Colusa,"Flooded roads, traffic, Wildlife Refuge, feeling better",,,,,
2017-02-23,Thu,81478,233,1191,Reno!,,746,,143,"Scary, snowy drive up 32 to 36","Day started nice, lunch in Chico, but stressful snow and ice driving got me sick again.",,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2017-04-18,Tue,81583,0,0,Reno!,IGNORE,,108,143,,,,,,,
2017-04-19,Wed,81744,161,161,granzellas,,738,,166,"Just another trip over the Sierras, I-80 to 20","Colusa NWR, Warriors game at Granzella’s",,,,,
2017-04-20,Thu,81876,132,293,perry riffle,,738,,301,"Eat in Chico, sleep north of Red Bluff","Tin Roof Bakery, through Red Bluff to a lovely quiet spot on the Sacramento River",,,,,
2017-04-21,Fri,81876,0,293,TownePlace Suites,Pretty deluxe hotel. A lot of baseball teams seemed to be staying there.,738,106,,"Take the river route, Keswick Dam Trail","The road along the Sacramento is bumpy and beautiful. Kill time in Redding till the evening. Walk a little, hang out in the park under the railroad bridge by the river.",,,,,
2017-04-22,Sat,81928,52,345,TownePlace Suites,Saturday night in Redding,738,106,,Basketball games,"Hang out with the boys all day. Game 1 in the morning, game 2 in the afternoon, yummy tacos in the hotel that night.",,,,,
2017-04-23,Sun,81971,43,388,sycamore,,738,,167,Meet Martha in Red Bluff,"One more game in the morning, then drive to Red Bluff to rendezvous with Martha.",,,,,
2017-04-24,Mon,82158,187,575,eureka,,738,,267,The usual 299 run to Eureka,"Mexican breakfast at Carlito’s in Red Bluff, coffee at Strawhouse.",,,,,
2017-04-25,Tue,82172,14,589,eureka,,738,,267,hanging with the family,"Because Coffee, Library - hung out and read actual magazines! Basketball practice that night.",,,,,
2017-04-26,Wed,82176,4,593,eureka,,738,,267,hanging with the family,"Cold, wet, annoying walk with Rylan.",,,,,
2017-04-27,Thu,82181,5,598,eureka,,738,,267,hanging with the family,Ramone’s. Evening drive to Manila for Lily’s talent show.,,,,,
2017-04-28,Fri,82181,0,598,eureka,,738,,267,hanging with the family,Los Bagels for a … bagel. Actual babysitting duties in the afternoon.,,,,,
2017-04-29,Sat,82186,5,603,eureka,,738,,267,hanging with the family,Tyler is marching in the Men Day Parade! Sunset beach quickie.,,,,,
2017-04-30,Sun,82424,238,841,Cave CG,,738,,244,"Beach in the morning, long drive in the afternoon.",Trinidad Beach with the family. Leave them there to drive all the way to Old Station. In n Out Burger in the middle.,,,,,
