date,,odometer,miles,cum miles,stop name,stop desc,wp id,cat,spot,day name,day desc,,lat,lon,day start,day end
,,,,,,,,,,,,,,,,
2018-01-26,Fri,90864,0,0,Reno!,IGNORE,,,,,,,,,,
2018-01-27,Sat,90983,119,119,Rocklin,,,,,,,,,,,
2018-01-28,Sun,43122,-47861,-47742,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2018-03-06,Tue,91150,91150,0,Reno!,IGNORE,,,,Buy the House!,,,,,,
2018-03-07,Wed,91303,153,153,Colusa,,,,,,,,,,,
2018-03-08,Thu,91427,124,277,Petaluma,,,,,"Settle, drive over to US Bank and back",,,,,,
2018-03-09,Fri,91427,0,277,,,,,,hang out,,,,,,
2018-03-10,Sat,91427,0,277,,,,,,family goes to bodega,,,,,,
2018-03-11,Sun,91427,0,277,,,,,,hang out,,,,,,
2018-03-12,Mon,91434,7,284,,,,,,Drive to Bo Ridge,,,,,,
2018-03-13,Tue,91434,0,284,,,,,,hang out,,,,,,
2018-03-14,Wed,91434,0,284,,,,,,hang out,,,,,,
2018-03-15,Thu,91510,76,360,,,,,,"back to SR, watch bball, drive back",,,,,,
2018-03-16,Fri,91580,70,430,,,,,,hang out,,,,,,
2018-03-17,Sat,91580,0,430,,,,,,hang out,,,,,,
2018-03-18,Sun,91580,0,430,,,,,,cheese factory,,,,,,
2018-03-19,Mon,91580,0,430,,,,,,,,,,,,
2018-03-20,Tue,91777,197,627,HOME,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2018-04-25,Wed,91836,91836,0,Reno!,IGNORE,,,,,,,,,,
2018-04-26,Thu,91985,149,149,Cave CG,,,,,,,,,,,
2018-04-27,Fri,92155,170,319,Colusa,,,,,,,,,,,
2018-04-28,Sat,92155,0,319,Petaluma,,,,,,,,,,,
2018-04-29,Sun,92155,0,319,,,,,,,,,,,,
2018-04-30,Mon,92155,0,319,,,,,,,,,,,,
2018-05-01,Tue,92279,124,443,,,,,,cum miles in Pet,,,,,,
2018-05-02,Wed,92477,198,641,,,,,,made-up number,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2018-06-18,Mon,92541,92541,0,Reno!,IGNORE,,,,real number,,,,,,
2018-06-19,Tue,92584,43,43,Frenchmans,,863,107,261,"short, simple drive",,,,,,
2018-06-20,Wed,92626,42,85,shs,,863,106,1,leisurely and beautiful drive across the Sierra Valley,,,,,,
2018-06-21,Thu,92727,101,186,jeffs,,863,106,387,tiring drive up 89,three road repair backups - ugh,,,,,
2018-06-22,Fri,92762,35,221,jeffs,,863,106,387,Drakesbad adventure,,,,,,
2018-06-23,Sat,92840,78,299,bridge,,863,106,276,continue on 89 over Mt Lassen,,,,,,
2018-06-24,Sun,93013,173,472,cowboy,,863,106,388,leave the mountains for the heat of the valley,a wildfire somewhere north of 20. A lot of smoke and bad air,,,,,
2018-06-25,Mon,93113,100,572,m’s,,863,106,374,"the ole Harbin route, except no Harbin",,,,,,
2018-06-26,Tue,93113,0,572,m’s,,863,106,374,"get a ride to town, hang out, walk home",,,,,,
2018-06-27,Wed,93113,0,572,m’s,,863,106,374,home all day,,,,,,
2018-06-28,Thu,93333,220,792,HOME,,863,106,143,"managed my time poorly, got some traffic jamsDid a little exploring this time. Checked out campgrounds, appetizers in Truckee.",,,,,,
,,,,,,,,,,made-up number,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
