date,,odometer,miles,cum miles,stop name,stop desc,,,wp id,cat,spot,day name,day desc,,lat,lon,day start,day end,day num
2018-08-14,Tue,"93,421",,0,Reno!,IGNORE,,,867,108,143,,,,,,,,0
2018-08-15,Wed,"93,476",55,55,Hampshire,,,,867,106,389,Getting out of town,"two hours of packing, one hour of driving, chill out on the South Yuba",,,,,,1
2018-08-16,Thu,"93,640",164,219,M’s,,,,867,106,374,"drive to Marin, leave my van with repair folks",ride back in heavy traffic,,,,,,2
2018-08-17,Fri,"93,668",28,247,M’s,,,,867,106,374,"get a ride to Marin, fail to get my van","Repair folks messed up, they are keeping the van for the weekend. I am annoyed. Heavy traffic again going home, Martha is annoyed.",,,,,,3
2018-08-18,Sat,"93,668",0,247,M’s,,,,867,106,374,"jigsaw puzzle in the afternoon, dinner in Bodega","kid party and garage sales and a jigsaw puzzle, then road trip to Bodega Bay for dinner at the deli",,,,,,4
2018-08-19,Sun,"93,668",0,247,M’s,,,,867,106,374,"walk to town for a Sunday paper, hang out","yard sale in the morning, kid party in the afternoon",,,,,,5
2018-08-20,Mon,"93,718",50,297,M’s,,,,867,106,374,"walk->train->Lyft to Marin, finally pick up the van","Nobody is driving to Marin, so I had to go modern and ride the train, then Lyft. Afternoon in Stinson.",,,,,,6
2018-08-21,Tue,"93,718",0,297,M’s,,,,867,106,374,clean and repack the van,"One more day, where I was able to do what I was gonna do this weekend. We had a fire in the new fire pit in the evening!",,,,,,7
2018-08-22,Wed,"93,814",96,393,bushay,,,,867,106,212,One hour drive up 101 to Lake Mendocino,Ate at Burger Me in Hopland. That place is interesting.,,,,,,8
2018-08-23,Thu,"93,979",165,558,Katie’s new house,"Right across from the library. Rambling, beautiful old house, kinda sketchy neighborhood.",,,871,106,,"the ole Eureka run, yet again",Driving the narrow road through the redwoods never fails to give me chills.,,40.8054,-124.1566,,,9
2018-08-24,Fri,"94,082",103,661,Lucky!,,,,871,106,304,"The ole Crescent City run, which is super-scenic but an annoying drive.","Hang at Because till 1, eat till 2, drive a while and nap till 4, hang at the overlook in CC for awhile, ease into the Lucky 7 a little after 7 pm.",,,,,,10
2018-08-25,Sat,"94,297",215,876,Drift Creek,,,,871,70,390,No vacancies …. anywhere.,"Every state campground full, every federal campground full. Way more driving than I’d planned.",,,,,,11
2018-08-26,Sun,"94,353",56,932,Devil,,,,871,70,8,"Much better day, actually went more or less according to plan!","Coffee on the dock, breakfast and chillin at Newport Harbor, then knock off early at Devil’s Lake.",,,,,,12
2018-08-27,Mon,"94,455",102,1034,table,,,,873,113,391,Another long day. The coast in August is not a friendly place for me.,"Breakfast at the Pig ’n Pancake, where I seem to end up on every trip. Follow the northern Oregon coast till a little past Tillamook.",,,,,,13
2018-08-28,Tue,"94,599",144,1178,Edge,,,,873,113,89,Very happy to be back at adult Disneyland,But I got too relaxed … couldn’t find my wallet for 14 hours. F—ing stoner …,,,,,,14
2018-08-29,Wed,"94,599",0,1178,Edge,,,,873,113,89,The all day relax-a-thon …,"A little stressful in the morning, then found the wallet! Let’s relax!",,,,,,15
2018-08-30,Thu,"94,660",61,1239,lepage,,,,873,113,241,"I-84 east, along the mighty Columbia River","Lots of fire damage, and many attractions closed because of it.",,,,,,16
2018-08-31,Fri,94901,241,1480,fishtrap,,,,879,110,392,"I-84, some roads around the bend of the river, then I-90","More Columbia River, then north through the Palouse",,,,,,17
2018-09-01,Sat,"94,991",90,1570,priest,,,,879,111,393,"coffee in a college town, Spokane, now Idaho","coffee in Cheney, failed attempt to explore Spokane, great spot on the Priest River.",,,,,,18
2018-09-02,Sun,"95,069",78,1648,north shore,,,,879,119,394,Extremely scenic water to my right all day.,"Coffee in Sandpoint, burger and fries and two Molsons (yikes!) in Clark Fork",,,,,,19
2018-09-03,Mon,"95,210",141,1789,flathead,,,,881,119,395,"Down the Clark Fork valley, back up a dry, bare valley to Flathead Lake.",It turns out the town called Hot Springs has hot springs! Glad I checked it out.,,,,,,20
2018-09-04,Tue,"95,301",91,1880,devils,,,,881,119,397,"Breakfast in Kalispell, drive south of Glacier NP.","Drive through Glacier is closed, so I’m going around.",,,,,,21
2018-09-05,Wed,"95,333",32,1912,glacier,,,,881,119,398,"Coffee and wifi, then straight to the campground to nail a spot.","Too many tourists in East Glacier, Two Medicine Lake is pretty.",,,,,,22
2018-09-06,Thu,"95,492",159,2071,valier,,,,881,119,399,"road construction, big, slow RVs, no food",Day started so nice … but man was it long.,,,,,,23
2018-09-07,Fri,"95,612",120,2191,great falls,,,,883,119,400,"Failed to find Rock City, enjoy Great Falls","Nice morning in Valier, 25 miles of gravel road for nothing, Giant Springs ",,,,,,24
2018-09-08,Sat,"95,658",46,2237,ft benton,,,,883,119,401,a 50 mile driving day!,"Loiter at motel till 1pm, back to Target, then drive to Ft Benton",,,,,,25
2018-09-09,Sun,"95,829",171,2408,malta,,,,886,119,402,"A long day, but nothing up here to stop for","Hard to leave Fort Benton, but the endless hills await.",,,,,,26
2018-09-10,Mon,"95,946",117,2525,ft peck,,,,886,119,403,"NWR Auto Tour, then easy drive to Fort Peck",Hard to leave my excellent little city park.,,,,,,27
2018-09-11,Tue,"96,111",165,2690,ft buford,,,,886,170,405,I have been driving due east on US 2 for four days.,"Do town things til 3:30, drive two hours to a sweet little spot near the confluence of the Yellowstone and the Missouri",,,,,,28
2018-09-12,Wed,"96,205",94,2784,roosevelt,,,,886,170,406,Unexpectedly detoured to a National Park.,"Noticed a sign for Theodore Roosevelt National Park, ended up going there.",,,,,,29
2018-09-13,Thu,"96,370",165,2949,east totten,,,,888,170,407,"All day has been Baaken Shale oil boom territory, and it is very stressful.","Backtrack to Watford City, then follow the river, which is not a river but a lake. End up at weird but pretty campground on the lake.",,,,,,30
2018-09-14,Fri,"96,460",90,3039,heart pont,,,,888,170,408,Spend the afternoon at Fort Mandan,"Great breakfast in Washburn, lots of fun on the river at Fort Mandan. Somehow end up at a weird little wasteland south of Bismarck in a rainstorm.",,,,,,31
2018-09-15,Sat,"96,606",146,3185,mobridge,,,,888,170,409,Long drive along the river going south.,"Back to Bismarck, then drive along the river a long time to a casino campground that I’m sure was built by the Army.",,,,,,32
2018-09-16,Sun,"96,742",136,3321,pierre,,,,892,170,410,Another long drive along the river going south.,"DQ for breakfast cuz it’s Sunday, watch football at the Pierre sports bar, swim and shoot hoops. Expensive campground, but lots of amenities.",,,,,,33
2018-09-17,Mon,"96,970",228,3549,spencer ne,,,,892,91,411,"Too long drive, beautiful countryside.",Took the Lewis and Clark Trail (i.e. the slow road) all day. Decided not to get extorted by SD State Parks again. Ended in a great spot!,,,,,,34
2018-09-18,Tue,"97,091",121,3670,elk city sd,,,,892,170,412,Easy drive. Went from arid to humid today.,"Continued the Lewis and Clark Trail, but for a lot less time. Another city park. Walked to a nice bar in town.",,,,,,35
2018-09-19,Wed,"97,256",165,3835,pony creek,,,,894,91,413,"Took on Omaha, and Omaha won.","Coffee in Sioux City, place was crowded and kinda difficult. FAIL on Omaha campgrounds, Here I am in the boonies again. VERY humid.",,,,,,36
2018-09-20,Thu,"97,370",114,3949,falls city,,,,894,91,414,Plattsmouth NE is a cool town.,"Enjoy the confluence of the Platte and Missouri. Hot, windy cornfields all day to Falls City.",,,,,,37
