date,,odometer,miles,cum miles,stop name,stop desc,wp id,cat,spot,day name,day desc,,lat,lon,day start,day end
,,,,,,,,,,,,,,,,
2020-02-26,Wed,113942,,0,Reno!,IGNORE,,,,,,,,,,
2020-02-27,Thu,114060,118,118,Walker,,980,,300,"Do my errands, escape Reno.","Big meal at Big Ed’s, propane FAIL at Sparks U-Haul, success in Yerington. Healthful walk at Walker Lake.",,,,,
2020-02-28,Fri,114182,122,240,Tonopah,,980,,482,"Familiar drive to Tonopah, more tiring that it shoulda been.","Coffee+wifi at little place in Hawthorne, worsening weather changes whole plan … sigh …",,,,,
2020-02-29,Sat,114352,170,410,Pahranagat,,980,,191,Spectacular drive on US 6 -> NV 375 -> US 93 South,"Brekkie at the Mizpah, clouds and snow-capped mountains to the Pahranagat Valley.",,,,,
2020-03-01,Sun,114414,62,472,caliente,,980,,376,"Short, very scenic drive on US 93 to Caliente",Pahranagat Valley is a blessed place. ,,,,,
2020-03-02,Mon,114618,204,676,Tonopah,,980,,375,Reverse the drive of two day ago - 93 to 275 to 6.,"The drive to Alamo was super-beautiful, fresh snow on the Joshua trees!",,,,,
2020-03-03,Tue,114781,163,839,Travertine,,980,,142,"US 6 to Benton, then CA 120 (open on Mar 3) to 395 - genius!","Thought I was going back to Hawthorne, but brainstorm! Cut over to 395 instead. Feeling very smart right now.",,,,,
2020-03-04,Wed,114924,143,982,HOME,,980,,143,Try a different way home: 182 out of Bridgeport.,"Since NV 439 opened up, I think it’s easier to go through Yerington than Gardnerville/Minden/Carson.",,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2019-03-17,Sun,106728,,0,Reno!,IGNORE,,,,,,,,,,
2019-03-18,Mon,106899,171,171,Granzellas,,938,106,166,Beautiful driving in the high country.,Huge amounts of snow in the mountains still.,,,,,
2019-03-19,Tue,107009,110,281,Petaluma,,938,106,374,Middle of the day drive was easy.,The excursion through Winters and behind Vacaville made it interesting.,,,,,
2019-03-20,Wed,107009,0,281,Petaluma,,938,106,374,What to do with the kids on Spring Break?,"San Rafael kids+coffee place, a long day of not being home.",,,,,
2019-03-21,Thu,107009,0,281,Petaluma,,938,106,374,Beach Day!,"Pretty drive, Bolinas + high tide, Stinson plus beach.",,,,,
2019-03-22,Fri,107009,0,281,Petaluma,,938,106,374,Cannot escape I-80.,"Nice adventure with Martha, Fairfield FAIL for truck",,,,,
2019-03-23,Sat,107009,0,281,Petaluma,,938,106,374,More riding in the car with Martha.,"Tyler basketball at Terra Linda High, breakfast with other grandparents.",,,,,
2019-03-24,Sun,107009,0,281,Petaluma,,938,106,374,"Petaluma Market, then one beer + hoops watching at Maguires.","Do a little yard work, go downtown to get my Sunday paper, finally see a NCAA game.",,,,,
2019-03-25,Mon,107009,0,281,Petaluma,,938,106,374,"Drive their car for errands, most fail.","Library, Safeway, Trader Joe’s - I bring home dinner!",,,,,
2019-03-26,Tue,107009,0,281,Petaluma,,938,106,374,Tula’s Birthday!,"Other grandparents come over, a pretty nice party for the now 3-year old.",,,,,
2019-03-27,Wed,107009,0,281,Petaluma,,938,106,374,Hang out one more day,"Finally, a day where nothing happens.",,,,,
2019-03-28,Thu,107106,97,378,Cowboy Camp,,941,106,388,"Santa Rosa Library then slow, narrow roads in the rain.",Rained very hard getting ready to leave and into the mountains. Nice after!,,,,,
2019-03-29,Fri,107220,114,492,black butte,,941,106,457,"Central Valley Day - few birds, many wildflowers",Granzella’s -> Llano Seco -> Chico -> Black Butte,,,,,
2019-03-30,Sat,107325,105,597,jeff’s!,,941,106,387,Happy to be making the drive up 32 from Chico to Chester in good weather.,"Breakfast on Orland, a little Chico house hunting, party time at Jeff’s in Chester.",,,,,
2019-03-31,Sun,107449,124,721,HOME,,941,108,143,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2019-05-28,Tue,107523,,0,Reno!,IGNORE,,,,,,,,,,
2019-05-29,Wed,107573,50,50,ft churchill,,944,,458,"First time on 439, the new 4 lane through the giant industrial park","Always hard to get going. Big Ed’s by 2:30, on the road 3:10. The industrial park is BIG.",,,,,
2019-05-30,Thu,107762,189,239,banc club,,944,,375,Yerington - Walker Lake - Hawthorne - Tonopah,Stormy weather rolled in again mid-afternoon. Spectacular driving watching the storm fronts in the mountains and valleys.,,,,,
2019-05-31,Fri,107909,147,386,baker creek,,944,,459,Tonopah - Goldfield - over the White Mountains - Big Pine,"Scattered thundershowers makes for spectacular desert driving again. Miles of desert, mountain pass, desert valley, mountain pass then on up the mountain ridge for great view of Owens Valley.",,,,,
